Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,13043561912.0,Entertainment,118448,TH,11.0,235993000.0,59000.0,944000.0,708000.0,11300000.0,2014.0,2,5.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
ýýýýýýýýýýýýýýýý - Al-Remas,17400000,11144195464.0,Music,2133,IQ,110.0,113003000.0,28300.0,452000.0,339000.0,5400000.0,2013.0,9,27.0,16.2,39309783.0,12.82,27783368.0,33.223191,43.679291
Apple,17300000,1026425106.0,Science & Technology,180,US,9.0,46484000.0,11600.0,185900.0,139500.0,2200000.0,2005.0,6,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Stubborn Facts,17300000,902225615.0,Film & Animation,287,IN,125.0,837850.0,209.0,3400.0,2500.0,40200.0,2016.0,9,5.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047.0,Entertainment,4778,IN,125.0,331944000.0,83000.0,1300000.0,995800.0,15900000.0,2014.0,8,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
HowToBasic,17300000,3684816159.0,Howto & Style,582,AU,17.0,15525000.0,3900.0,62100.0,46600.0,745200.0,2011.0,12,8.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
Marques Brownlee,17200000,3606912471.0,Science & Technology,1567,US,10.0,52325000.0,13100.0,209300.0,157000.0,2500000.0,2008.0,3,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Anitta,17200000,7337212581.0,Music,138,BR,111.0,72684000.0,18200.0,290700.0,218100.0,3500000.0,2011.0,11,2.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Jason Vlogs,17200000,8903647480.0,Education,83,AU,7408.0,25.0,0.01,0.1,0.08,1.0,2014.0,9,11.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
El Reino a Jugar,17200000,11445492404.0,Education,1007,AR,28.0,83709000.0,20900.0,334800.0,251100.0,4000000.0,2015.0,3,3.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
